make_model,hp_kw,km,age,gearing_type,gears,price
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,85.0,63668.0,3.0,Automatic,5.0,15090
Audi A1,85.0,78000.0,2.0,Automatic,7.0,15000
Audi A1,85.0,137066.0,3.0,Automatic,5.0,14998
Audi A1,85.0,34000.0,3.0,Automatic,7.0,14990
Audi A1,70.0,9600.0,2.0,Automatic,5.0,14990
Audi A1,66.0,88800.0,3.0,Automatic,5.0,13880
Audi A1,66.0,59150.0,3.0,Automatic,7.0,13500
Audi A1,66.0,110375.0,3.0,Automatic,5.0,13480
Audi A1,70.0,26310.0,1.0,Automatic,7.0,13450
Audi A1,70.0,65000.0,3.0,Automatic,7.0,13250
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,66.0,58380.0,3.0,Automatic,7.0,13599
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,85.0,31100.0,3.0,Automatic,5.0,15700
Audi A1,92.0,79244.0,3.0,Automatic,5.0,15680
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,85.0,58722.0,3.0,Automatic,5.0,15750
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,70.0,11725.0,3.0,Automatic,5.0,15660
Audi A1,85.0,41600.0,3.0,Automatic,5.0,15750
Audi A1,85.0,56000.0,3.0,Automatic,7.0,11000
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,66.0,60000.0,3.0,Automatic,7.0,14990
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,70.0,56967.0,3.0,Automatic,7.0,14959
Audi A1,70.0,56967.0,3.0,Automatic,7.0,14959
Audi A1,92.0,87300.0,3.0,Automatic,5.0,14930
Audi A1,70.0,86698.0,3.0,Automatic,7.0,14930
Audi A1,66.0,70000.0,3.0,Automatic,7.0,14950
Audi A1,92.0,87300.0,3.0,Automatic,5.0,14930
Audi A1,85.0,115900.0,2.0,Automatic,7.0,14900
Audi A1,70.0,25000.0,3.0,Automatic,5.0,14850
Audi A1,85.0,58718.0,3.0,Automatic,7.0,14890
Audi A1,92.0,35730.0,3.0,Automatic,5.0,14700
Audi A1,85.0,83450.0,3.0,Automatic,5.0,14640
Audi A1,66.0,75000.0,3.0,Automatic,7.0,14799
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,70.0,58525.0,3.0,Automatic,7.0,16395
Audi A1,70.0,37000.0,3.0,Automatic,7.0,16250
Audi A1,92.0,42000.0,3.0,Automatic,7.0,16400
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,85.0,53000.0,3.0,Automatic,5.0,16290
Audi A1,66.0,49351.0,3.0,Automatic,5.0,14990
Audi A1,70.0,31235.0,3.0,Automatic,7.0,16199
Audi A1,71.0,72761.0,3.0,Automatic,5.0,15998
Audi A1,85.0,73575.0,3.0,Automatic,7.0,15990
Audi A1,66.0,19000.0,2.0,Automatic,7.0,16000
Audi A1,70.0,19068.0,2.0,Automatic,7.0,16150
Audi A1,85.0,11000.0,3.0,Automatic,7.0,16000
Audi A1,92.0,33200.0,3.0,Automatic,5.0,15993
Audi A1,85.0,45000.0,3.0,Automatic,7.0,15990
Audi A1,66.0,42900.0,3.0,Automatic,7.0,15990
Audi A1,66.0,52900.0,3.0,Automatic,7.0,15980
Audi A1,70.0,40500.0,3.0,Automatic,5.0,15590
Audi A1,85.0,146140.0,3.0,Automatic,7.0,15990
Audi A1,85.0,44300.0,3.0,Automatic,7.0,15980
Audi A1,70.0,9300.0,1.0,Automatic,7.0,15990
Audi A1,85.0,72192.0,3.0,Automatic,5.0,15980
Audi A1,92.0,46123.0,3.0,Automatic,5.0,15990
Audi A1,66.0,18150.0,2.0,Automatic,7.0,15580
Audi A1,70.0,42979.0,3.0,Automatic,7.0,15490
Audi A1,66.0,24000.0,3.0,Automatic,7.0,15500
Audi A1,66.0,40528.0,2.0,Automatic,7.0,15490
Audi A1,70.0,104000.0,3.0,Automatic,5.0,15500
Audi A1,85.0,63473.0,3.0,Automatic,7.0,15500
Audi A1,110.0,29950.0,3.0,Automatic,7.0,15490
Audi A1,92.0,25320.0,3.0,Automatic,5.0,15480
Audi A1,66.0,24030.0,2.0,Automatic,5.0,15450
Audi A1,70.0,36590.0,3.0,Automatic,5.0,15450
